direction,mu_m,w_m,psi_boundary
0,-9.89400935e-01,2.71524594e-02,3.72236118e+01
1,-9.44575023e-01,6.22535239e-02,0.00000000e+00
2,-8.65631202e-01,9.51585117e-02,0.00000000e+00
3,-7.55404408e-01,1.24628971e-01,0.00000000e+00
4,-6.17876244e-01,1.49595989e-01,0.00000000e+00
5,-4.58016778e-01,1.69156519e-01,0.00000000e+00
6,-2.81603551e-01,1.82603415e-01,0.00000000e+00
7,-9.50125098e-02,1.89450610e-01,0.00000000e+00
8,9.50125098e-02,1.89450610e-01,-1.19764642e+00
9,2.81603551e-01,1.82603415e-01,2.99974736e+00
10,4.58016778e-01,1.69156519e-01,1.30178789e+00
11,6.17876244e-01,1.49595989e-01,2.38527317e+00
12,7.55404408e-01,1.24628971e-01,1.82027729e+00
13,8.65631202e-01,9.51585117e-02,2.21699741e+00
14,9.44575023e-01,6.22535239e-02,2.02768380e+00
15,9.89400935e-01,2.71524594e-02,2.14148120e+00
